-0.541191, -0.550994, -0.487262, -0.478921, 
-0.472821, -0.469001, -0.520948, -0.521498, 
-0.481374, -0.47856, -0.516279, -0.517094, 
-0.487599, -0.485089, -0.511175, -0.511827, 
-0.494913, -0.493243, -0.504971, -0.505679, 
-0.500623, -0.499001, -0.499347, -0.50047, 
-0.498376, -0.497136, -0.499978, -0.499428, 
-0.500185, -0.498629, -0.49981, -0.499507, 
-0.428775, -0.494373, -0.426474, -0.49289, 
0.122413, 0.0944071, 0.1319, 0.102992, 
0.41726, 0.413115, 0.428167, 0.423405, 
0.489558, 0.49051, 0.500356, 0.500943, 
0.49017, 0.490874, 0.500277, 0.500866, 
0.490951, 0.491046, 0.500233, 0.500366, 
0.491869, 0.491918, 0.500327, 0.500365, 
0.412322, 0.44777, 0.419093, 0.454802, 
0.336132, 0.362832, 0.341366, 0.368253, 
0.268994, 0.288502, 0.272773, 0.292539, 
0.212076, 0.225806, 0.214527, 0.228557, 
0.165131, 0.17428, 0.166422, 0.175887, 
0.127254, 0.132833, 0.127577, 0.133467, 
0.0971985, 0.100049, 0.0967406, 0.0998844, 
0.0736958, 0.07452, 0.0726524, 0.0737416, 
0.0555246, 0.0548955, 0.0540626, 0.0536651, 
0.0416068, 0.0399886, 0.0398754, 0.0384524, 
0.0310383, 0.0288037, 0.0291785, 0.0271026, 
0.0230612, 0.0204995, 0.0211695, 0.0187312, 
0.0170697, 0.0144025, 0.0152364, 0.0126603, 
0.0125952, 0.00998399, 0.0108863, 0.00833854, 
0.009261, 0.00681777, 0.00771246, 0.00530879, 
0.00677192, 0.00457185, 0.00540734, 0.0032258, 
0.00491782, 0.00300221, 0.00375178, 0.00183868, 
0.00353745, 0.00192315, 0.00257109, 0.000947183, 
0.00250769, 0.00119392, 0.00173581, 0.000403509, 
0.00174596, 0.000714493, 0.00114747, 9.22858e-05, 
0.00117885, 0.000405077, 0.000738838, -6.17349e-05, 
0.000759274, 0.000212721, 0.000456911, -0.000117521, 
0.000451246, 9.85533e-05, 0.000264667, -0.000115389, 
0.000227948, 3.52034e-05, 0.000135576, -8.28363e-05, 
6.73547e-05, 2.52369e-06, 5.23029e-05, -3.56809e-05, 
-3.90762e-05, -7.79516e-06, -4.10066e-06, 7.01281e-06, 
-0.000110521, -9.91138e-06, -3.67939e-05, 4.68569e-05, 
-0.000155241, -8.22481e-06, -5.30624e-05, 8.03866e-05, 
-0.000176228, -3.08101e-06, -6.09179e-05, 0.000101886, 
-0.000179638, 4.32714e-06, -6.55797e-05, 0.000110417, 
-0.000174267, 6.40876e-06, -6.05884e-05, 0.000115289, 
-0.000160581, 1.05547e-05, -5.75006e-05, 0.000110296, 
-0.000145836, 1.31393e-05, -5.41095e-05, 0.000102108, 
-0.000126868, 1.19287e-05, -4.61981e-05, 9.22524e-05, 
-0.000106342, 1.04049e-05, -3.81263e-05, 7.96933e-05, 
-8.57917e-05, 8.68438e-06, -3.07078e-05, 6.5722e-05, 
-6.62394e-05, 6.80027e-06, -2.40879e-05, 5.14332e-05, 
-4.83659e-05, 4.8412e-06, -1.82871e-05, 3.76693e-05, 
-3.25968e-05, 2.91674e-06, -1.32931e-05, 2.50386e-05, 
-1.73231e-05, 2.31913e-06, -1.01966e-05, 1.2214e-05, 
-7.8933e-06, -4.7921e-07, -5.49796e-06, 4.43916e-06, 
-1.00871e-07, -2.15813e-06, -2.37382e-06, -2.18686e-06, 
6.0744e-06, -3.17219e-06, -2.43411e-07, -7.5445e-06, 
1.06897e-05, -3.7695e-06, 1.22356e-06, -1.15984e-05, 
1.38557e-05, -4.08264e-06, 2.21589e-06, -1.43916e-05, 
1.57273e-05, -4.18552e-06, 2.84833e-06, -1.60273e-05, 
1.64889e-05, -4.12426e-06, 3.19787e-06, -1.66501e-05, 
1.63402e-05, -3.93285e-06, 3.32248e-06, -1.64291e-05, 
1.54827e-05, -3.64045e-06, 3.27026e-06, -1.55424e-05, 
1.41093e-05, -3.2742e-06, 3.08346e-06, -1.41658e-05, 
1.23963e-05, -2.85974e-06, 2.79992e-06, -1.24634e-05, 
1.04982e-05, -2.4208e-06, 2.45328e-06, -1.05811e-05, 
8.54484e-06, -1.97853e-06, 2.07276e-06, -8.64317e-06, 
5.83732e-06, -1.92706e-06, 2.0852e-06, -5.98199e-06, 
5.44531e-06, -6.83119e-07, 8.1475e-07, -5.54183e-06, 
